,model,source drug,source cell,target drug,target cell,Spearman correlation
3740,cvae,BRD-K58772419,HS578T,BRD-K79090631,HS578T,0.7721930719231497
3741,cvae,BRD-K79090631,HS578T,BRD-K79090631,HS578T,0.772180853079151
3742,cvae,BRD-A63610676,XC.L100.L,BRD-A63610676,XC.L100.L,0.7923812063301001
3743,cvae,BRD-A63610676,XC.L100.L,BRD-A63610676,XC.L100.L,0.7923647092871791
3744,cvae,BRD-A63610676,XC.L100.L,BRD-A63610676,XC.L100.L,0.792342215068857
3745,cvae,BRD-K16478699,A375,BRD-K16478699,XC.L100.M,0.8313846094481273
3746,cvae,BRD-K51313569,XC.L100.M,BRD-K16478699,XC.L100.M,0.831339409346469
3747,cvae,BRD-K16478699,XC.L100.M,BRD-K16478699,XC.L100.M,0.8313329182860352
3748,cvae,BRD-K15616905,XC.L100.M,BRD-K15616905,XC.L100.L,0.8278079581799191
3749,cvae,BRD-K51313569,XC.L100.L,BRD-K15616905,XC.L100.L,0.8277708141769815
3750,cvae,BRD-K13566078,MCF7,BRD-K13566078,MCF10A,0.783257174230113
3751,cvae,BRD-K02113016,MCF10A,BRD-K13566078,MCF10A,0.7831417911410354
3752,cvae,BRD-K56343971,HA1E,BRD-K56343971,MCF7,0.8922933210919974
3753,cvae,BRD-K57169635,MCF7,BRD-K56343971,MCF7,0.8922533035761402
3754,cvae,BRD-K56343971,MCF7,BRD-K56343971,MCF7,0.8924007122232678
3755,cvae,BRD-A45498368,HME1,BRD-A45498368,BT20,0.7731942474400832
3756,cvae,BRD-K56343971,BT20,BRD-A45498368,BT20,0.7728904696602288
3757,cvae,BRD-K64800655,U2OS,BRD-K64800655,BT20,0.7823997320859706
3758,cvae,BRD-K58772419,BT20,BRD-K64800655,BT20,0.7825185146434572
3759,cvae,BRD-K64800655,BT20,BRD-K64800655,BT20,0.7825603216907976
3760,cvae,BRD-K20285085,SKBR3,BRD-K20285085,BT20,0.7761084385267297
3761,cvae,BRD-K41895714,BT20,BRD-K20285085,BT20,0.7760879006062658
3762,cvae,BRD-K63923597,SKBR3,BRD-K63923597,SKBR3,0.7905118258237591
3763,cvae,BRD-K51313569,SKBR3,BRD-K63923597,SKBR3,0.7906326159918345
3764,cvae,BRD-K63923597,SKBR3,BRD-K63923597,SKBR3,0.7906895731229151
3765,cvae,BRD-K85606544,HS578T,BRD-K85606544,SKBR3,0.7901907556536576
3766,cvae,BRD-K99545815,SKBR3,BRD-K85606544,SKBR3,0.7902832532648416
3767,cvae,BRD-K25650355,HELA,BRD-K25650355,PC3,0.8390473383608734
3768,cvae,BRD-A75409952,PC3,BRD-K25650355,PC3,0.8391949779152895
3769,cvae,BRD-K68065987,A549,BRD-K68065987,HA1E,0.8451477229055331
3770,cvae,BRD-K20285085,HA1E,BRD-K68065987,HA1E,0.8452120818980176
3771,cvae,BRD-K68065987,HA1E,BRD-K68065987,HA1E,0.8453005129752932
3772,cvae,BRD-K19540840,A549,BRD-K19540840,SKBR3,0.797524339055308
3773,cvae,BRD-K63068307,SKBR3,BRD-K19540840,SKBR3,0.7976919456760587
